clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized
10.png,1,87298,1472,0.983443676,59.30570612,255,0
100.png,3,86487,1574,0.983443676,54.94726776,255,0
100.png,4,56988,1030,0.980620117,55.3281548,255,0
11.png,1,86647,1566,0.983443676,55.33014013,255,0
12.png,1,62023,1186,1.084942043,52.29595234,255,0
13.png,1,87836,1420,0.983498317,61.85633759,255,0
13.png,2,60868,1140,1.077220036,53.39298199,255,0
14.png,2,86662,1554,0.986754934,55.76705241,255,0
14.png,4,58596,1096,1.011627868,53.46350316,255,0
15.png,1,87619,1414,0.986754934,61.9653461,255,0
15.png,2,60555,1124,1.077220036,53.87455468,255,0
15.png,4,87496,1414,0.986754934,61.87835883,255,0
16.png,1,86927,1500,0.99003319,57.95133295,255,0
16.png,2,87469,1416,0.986754934,61.77189222,255,0
16.png,3,59279,1060,1.03875965,55.92358438,255,0
16.png,5,87025,1502,0.986754934,57.93941373,255,0
17.png,1,86936,1500,0.983443676,57.95733295,255,0
17.png,2,86751,1536,0.986754934,56.47851526,255,0
17.png,3,58599,1096,1.011627868,53.46624039,255,0
17.png,4,86957,1520,0.986754934,57.20855226,255,0
17.png,5,86591,1570,0.983443676,55.15350283,255,0
18.png,2,61945,1190,1.084942043,52.05462141,255,0
19.png,2,61945,1190,1.084942043,52.05462141,255,0
20.png,2,60454,1120,1.077220036,53.97678523,255,0
21.png,3,60335,1114,1.077220036,54.16068174,255,0
22.png,4,58830,1096,1.011627868,53.67700681,255,0
30.png,1,86585,1580,0.986754934,54.80063256,255,0
30.png,2,86537,1578,0.983443676,54.83967012,255,0
30.png,6,86925,1570,0.986754934,55.36624169,255,0
30.png,7,86010,1654,0.986754934,52.00120888,255,0
33.png,2,87724,1434,0.983498317,61.17433709,255,0
34.png,3,87108,1528,0.983498317,57.00785303,255,0
35.png,3,86830,1588,0.983498317,54.67884097,255,0
38.png,1,87387,1432,0.986754934,61.02444091,255,0
38.png,4,87393,1432,0.986754934,61.02863086,255,0
47.png,2,86073,1652,0.983443676,52.10229993,255,0
5.png,6,105007,2078,1.236768768,50.53272353,255,0
6.png,3,86130,1590,0.983443676,54.16981098,255,0
61.png,2,86775,1554,0.986754934,55.83976798,255,0
62.png,2,86535,1586,0.986754934,54.56179032,255,0
62.png,4,86623,1560,0.99003319,55.52756375,255,0
7.png,1,87417,1458,0.983443676,59.95678971,255,0
76.png,2,58830,1096,1.011627868,53.67700681,255,0
77.png,2,61945,1190,1.084942043,52.05462141,255,0
78.png,2,61450,1188,1.081081039,51.72558879,255,0
79.png,2,60770,1138,1.077220036,53.40070252,255,0
8.png,1,87253,1474,0.983443676,59.19470788,255,0
8.png,3,87146,1478,0.986754934,58.96211056,255,0
80.png,3,59964,1116,1.077220036,53.73118231,255,0
86.png,1,86921,1530,0.986754934,56.81111074,255,0
87.png,1,87201,1500,0.986754934,58.13399961,255,0
88.png,1,61450,1188,1.081081039,51.72558879,255,0
89.png,2,60454,1120,1.077220036,53.97678523,255,0
9.png,1,87358,1464,0.983443676,59.67076462,255,0
90.png,2,60335,1114,1.077220036,54.16068174,255,0
91.png,3,60335,1114,1.077220036,54.16068174,255,0
92.png,4,59964,1116,1.077220036,53.73118231,255,0
93.png,3,60335,1114,1.077220036,54.16068174,255,0
94.png,3,58830,1096,1.011627868,53.67700681,255,0
95.png,2,86738,1564,0.986754934,55.45907893,255,0
95.png,4,58306,1082,0.984496086,53.88724534,255,0
96.png,3,58599,1096,1.011627868,53.46624039,255,0
97.png,5,58259,1080,0.980620117,53.94351802,255,0
98.png,3,58599,1096,1.011627868,53.46624039,255,0
99.png,3,57840,1080,0.980620117,53.55555506,255,0
10.png,4,10992,458,0.94017086,23.99999948,255,1
100.png,5,361,76,0.999999444,4.749999375,255,1
11.png,4,11771,514,1.170940071,22.90077776,255,1
11.png,6,10954,458,0.94017086,23.91703005,255,1
12.png,2,440,84,0.904761474,5.238094615,255,1
13.png,3,440,84,0.904761474,5.238094615,255,1
14.png,5,400,80,0.999999474,4.999999375,255,1
15.png,3,419,82,0.949999525,5.109755474,255,1
16.png,4,419,82,0.949999525,5.109755474,255,1
18.png,1,12957,500,0.937499927,25.91399948,255,1
18.png,3,440,84,0.904761474,5.238094615,255,1
19.png,1,12869,496,0.9370078,25.94556399,255,1
19.png,3,440,84,0.904761474,5.238094615,255,1
19.png,4,12936,498,0.944881815,25.97590309,255,1
20.png,1,12833,496,0.9370078,25.87298335,255,1
20.png,3,419,82,0.949999525,5.109755474,255,1
20.png,5,12893,498,0.944881815,25.88955771,255,1
21.png,1,12822,496,0.9370078,25.85080593,255,1
21.png,4,419,82,0.949999525,5.109755474,255,1
21.png,6,12883,498,0.944881815,25.86947739,255,1
22.png,1,12795,496,0.9370078,25.79637045,255,1
22.png,5,400,80,0.999999474,4.999999375,255,1
22.png,7,12856,498,0.944881815,25.81526053,255,1
23.png,1,399,80,0.999999474,4.987499377,255,1
