clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized,PCA_Component_1,PCA_Component_2,Cluster_PCA
10.png,1,87298,1472,0.983443676,59.30570612,255,0,0.884120179,-0.503371171,0
100.png,3,86487,1574,0.983443676,54.94726776,255,0,0.816411236,-0.465891819,0
100.png,4,56988,1030,0.980620117,55.3281548,255,0,0.298214911,-0.605759163,0
11.png,1,86647,1566,0.983443676,55.33014013,255,0,0.82360888,-0.46892571,0
12.png,1,62023,1186,1.084942043,52.29595234,255,0,0.336586369,-0.516314466,0
13.png,1,87836,1420,0.983498317,61.85633759,255,0,0.92814884,-0.523491654,0
13.png,2,60868,1140,1.077220036,53.39298199,255,0,0.332089402,-0.534064345,0
14.png,2,86662,1554,0.986754934,55.76705241,255,0,0.82875373,-0.471802769,0
14.png,4,58596,1096,1.011627868,53.46350316,255,0,0.295707095,-0.571431802,0
15.png,1,87619,1414,0.986754934,61.9653461,255,0,0.925883529,-0.524028352,0
15.png,2,60555,1124,1.077220036,53.87455468,255,0,0.3337146,-0.539463932,0
15.png,4,87496,1414,0.986754934,61.87835883,255,0,0.922586777,-0.523793272,0
16.png,1,86927,1500,0.99003319,57.95133295,255,0,0.859840724,-0.490005209,0
16.png,2,87469,1416,0.986754934,61.77189222,255,0,0.920623979,-0.522993582,0
16.png,3,59279,1060,1.03875965,55.92358438,255,0,0.34523227,-0.576761452,0
16.png,5,87025,1502,0.986754934,57.93941373,255,0,0.861562831,-0.490767394,0
17.png,1,86936,1500,0.983443676,57.95733295,255,0,0.860427997,-0.492639541,0
17.png,2,86751,1536,0.986754934,56.47851526,255,0,0.838753938,-0.478249073,0
17.png,3,58599,1096,1.011627868,53.46624039,255,0,0.295803303,-0.571439575,0
17.png,4,86957,1520,0.986754934,57.20855226,255,0,0.851246445,-0.484247765,0
17.png,5,86591,1570,0.983443676,55.15350283,255,0,0.820597524,-0.467447431,0
18.png,2,61945,1190,1.084942043,52.05462141,255,0,0.331724289,-0.514631371,0
19.png,2,61945,1190,1.084942043,52.05462141,255,0,0.331724289,-0.514631371,0
20.png,2,60454,1120,1.077220036,53.97678523,255,0,0.333457917,-0.54076348,0
21.png,3,60335,1114,1.077220036,54.16068174,255,0,0.334138175,-0.542799981,0
22.png,2,121937,2326,1.23711337,52.42347355,255,4,1.421911129,-0.168984199,0
22.png,4,58830,1096,1.011627868,53.67700681,255,0,0.303211298,-0.572038089,0
30.png,1,86585,1580,0.986754934,54.80063256,255,0,0.81632701,-0.46267209,0
30.png,2,86537,1578,0.983443676,54.83967012,255,0,0.816088917,-0.464596502,0
30.png,6,86925,1570,0.986754934,55.36624169,255,0,0.828768707,-0.466692301,0
30.png,7,86010,1654,0.986754934,52.00120888,255,0,0.776626259,-0.436676537,0
33.png,2,87724,1434,0.983498317,61.17433709,255,0,0.916699194,-0.518070176,0
34.png,3,87108,1528,0.983498317,57.00785303,255,0,0.851590756,-0.482977157,0
35.png,3,86830,1588,0.983498317,54.67884097,255,0,0.819509797,-0.461622312,0
38.png,1,87387,1432,0.986754934,61.02444091,255,0,0.908757383,-0.516883688,0
38.png,4,87393,1432,0.986754934,61.02863086,255,0,0.908916831,-0.516894979,0
47.png,2,86073,1652,0.983443676,52.10229993,255,0,0.778941162,-0.438758609,0
5.png,1,121487,2342,1.240310045,51.87318509,255,4,1.411748399,-0.162416065,0
5.png,6,105007,2078,1.236768768,50.53272353,255,0,1.102514864,-0.227036691,0
6.png,1,120219,2444,1.240310045,49.18944333,255,4,1.383066988,-0.130681705,0
6.png,3,86130,1590,0.983443676,54.16981098,255,0,0.80139523,-0.459801207,0
61.png,2,86775,1554,0.986754934,55.83976798,255,0,0.831597674,-0.471994887,0
62.png,2,86535,1586,0.986754934,54.56179032,255,0,0.81277436,-0.460526505,0
62.png,4,86623,1560,0.99003319,55.52756375,255,0,0.825102846,-0.468347683,0
7.png,1,87417,1458,0.983443676,59.95678971,255,0,0.894836899,-0.508687209,0
76.png,2,58830,1096,1.011627868,53.67700681,255,0,0.303211298,-0.572038089,0
77.png,2,61945,1190,1.084942043,52.05462141,255,0,0.331724289,-0.514631371,0
78.png,2,61450,1188,1.081081039,51.72558879,255,0,0.31820177,-0.515747829,0
79.png,2,60770,1138,1.077220036,53.40070252,255,0,0.330436352,-0.534590865,0
8.png,1,87253,1474,0.983443676,59.19470788,255,0,0.881885339,-0.502564237,0
8.png,3,87146,1478,0.986754934,58.96211056,255,0,0.876817904,-0.499606863,0
80.png,3,59964,1116,1.077220036,53.73118231,255,0,0.320908354,-0.541078639,0
86.png,1,86921,1530,0.986754934,56.81111074,255,0,0.845751033,-0.480653446,0
87.png,1,87201,1500,0.986754934,58.13399961,255,0,0.867076387,-0.491794693,0
88.png,1,61450,1188,1.081081039,51.72558879,255,0,0.31820177,-0.515747829,0
89.png,2,60454,1120,1.077220036,53.97678523,255,0,0.333457917,-0.54076348,0
9.png,1,87358,1464,0.983443676,59.67076462,255,0,0.889995421,-0.506389206,0
90.png,2,60335,1114,1.077220036,54.16068174,255,0,0.334138175,-0.542799981,0
91.png,3,60335,1114,1.077220036,54.16068174,255,0,0.334138175,-0.542799981,0
92.png,4,59964,1116,1.077220036,53.73118231,255,0,0.320908354,-0.541078639,0
